title,link,image
Oyo Sotto & Kristine Hermosa,https://player.vimeo.com/video/180421756,https://i.vimeocdn.com/video/588648526_295x166.jpg
Fred & Lynn in Maldives,https://player.vimeo.com/video/180465583,https://i.vimeocdn.com/video/589195786_295x166.jpg
Yael & Karylle,https://player.vimeo.com/video/89737290,https://i.vimeocdn.com/video/588707591_295x166.jpg
Ardy Roberto + Miriam Quiambao,https://player.vimeo.com/video/90071278,https://i.vimeocdn.com/video/588734197_295x166.jpg
Jojo Oconer & Ciara Sotto,https://player.vimeo.com/video/180418857,https://i.vimeocdn.com/video/588735467_295x166.jpg
Jun & Vanessa Matsunaga,https://player.vimeo.com/video/180399017,https://i.vimeocdn.com/video/588702725_295x166.jpg
Jatinder & Hardeep,https://player.vimeo.com/video/92924962,https://i.vimeocdn.com/video/588800409_295x166.jpg
Paulo & Camille,https://player.vimeo.com/video/159776544,https://i.vimeocdn.com/video/588702476_295x166.jpg
Justin & Isabel,https://player.vimeo.com/video/180399040,https://i.vimeocdn.com/video/588652084_295x166.jpg
Andrew+Isabella,https://player.vimeo.com/video/150783344,https://i.vimeocdn.com/video/588790192_295x166.jpg
Paolo & Kate,https://player.vimeo.com/video/180409109,https://i.vimeocdn.com/video/589258252_295x166.jpg
Den + Chin : 60 secs,https://player.vimeo.com/video/170936376,https://i.vimeocdn.com/video/588813726_295x166.jpg
Den & Chin,https://player.vimeo.com/video/180726159,https://i.vimeocdn.com/video/589146434_295x166.jpg
Paolo and Pier,https://player.vimeo.com/video/121169172,https://i.vimeocdn.com/video/589171869_295x166.jpg
Tim and Evadne,https://player.vimeo.com/video/121169173,https://i.vimeocdn.com/video/589176291_295x166.jpg
Arvin+Grace,https://player.vimeo.com/video/173121545,https://i.vimeocdn.com/video/588814599_295x166.jpg
SDE : Oliver+Jenica,https://player.vimeo.com/video/138508519,https://i.vimeocdn.com/video/588815804_295x166.jpg
Bryan+Josan,https://player.vimeo.com/video/167778097,https://i.vimeocdn.com/video/588965296_295x166.jpg
Danny + Sam : Baguio City,https://player.vimeo.com/video/149873167,https://i.vimeocdn.com/video/588817857_295x166.jpg
Toto & Ging,https://player.vimeo.com/video/132092876,https://i.vimeocdn.com/video/589030542_295x166.jpg
Vincent+Eva,https://player.vimeo.com/video/144706825,https://i.vimeocdn.com/video/588966757_295x166.jpg
Emman & Paula : SDE,https://player.vimeo.com/video/104519020,https://i.vimeocdn.com/video/589181120_295x166.jpg
Pike & Chelly,https://player.vimeo.com/video/154158323,https://i.vimeocdn.com/video/589410492_295x166.jpg
Adrian & Rose,https://player.vimeo.com/video/65567247,https://i.vimeocdn.com/video/589200101_295x166.jpg
Surigao del Norte: Sherwin + Wena,https://player.vimeo.com/video/85017511,https://i.vimeocdn.com/video/589193796_295x166.jpg
Mike & Tricia,https://player.vimeo.com/video/180405920,https://i.vimeocdn.com/video/589265119_295x166.jpg
Morny and Mai,https://player.vimeo.com/video/121096809,https://i.vimeocdn.com/video/589503537_295x166.jpg
Jobim and Kat,https://player.vimeo.com/video/121096807,https://i.vimeocdn.com/video/589506539_295x166.jpg
Art & Mika,https://player.vimeo.com/video/120040905,https://i.vimeocdn.com/video/589509674_295x166.jpg
Marvs + Issa,https://player.vimeo.com/video/119131580,https://i.vimeocdn.com/video/589511028_295x166.jpg
Jaime & Nicole,https://player.vimeo.com/video/181036095,https://i.vimeocdn.com/video/589593151_295x166.jpg
Edward & Roberta,https://player.vimeo.com/video/181036094,https://i.vimeocdn.com/video/589594174_295x166.jpg
Banjo & Sarah,https://player.vimeo.com/video/181036092,https://i.vimeocdn.com/video/589598563_295x166.jpg
